study_words,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase ,,0,0,0,0,,,,,24.72272510000039,24.72272510000039,1,4.747863399999915,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
needle ,,0,1,1,11,,,,,29.53294079999978,29.53294079999978,1,1.5101938000007067,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tata,,0,2,2,6,,,,,31.13211660000161,31.13211660000161,1,1.12182660000326,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
piano,,0,3,3,4,,,,,32.33249210000213,32.33249210000213,1,1.0687576999989687,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
book,,0,4,4,2,,,,,33.48194240000157,33.48194240000157,1,1.0438154000003124,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
chair ,,0,5,5,13,,,,,34.5811391999996,34.5811391999996,1,0.9170644000005268,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
phone ,,0,6,6,9,,,,,35.580870400001004,35.580870400001004,1,0.9718858000014734,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
clock,,0,7,7,14,,,,,36.613922399999865,36.613922399999865,1,0.9763323000006494,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tube,,0,8,8,5,,,,,37.66365489999953,37.66365489999953,1,0.9244857000012416,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
mouse,,0,9,9,7,,,,,38.67983960000129,38.67983960000129,1,0.9679739000021073,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
tiger,,0,10,10,1,,,,,39.74650630000178,39.74650630000178,1,0.9000495000000228,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
marble ,,0,11,11,10,,,,,40.72934230000101,40.72934230000101,1,1.0544488999985333,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
queen,,0,12,12,8,,,,,41.86229210000238,41.86229210000238,1,0.9166841000005661,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
cushion,,0,13,13,3,,,,,42.845173100002285,42.845173100002285,1,0.9440379000006942,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
table ,,0,14,14,12,,,,,43.87823220000064,43.87823220000064,1,0.9875052999996115,,,,,,,,,,,,,4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,p_o_e,,,,,0,0,0,9,,,,,44.944876000001386,44.944876000001386,44.944876000001386,0.0376202999977977,"prose
",[],[],[],[],[],[],[],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,c_s_i_n,,,,,0,1,1,3,,,,,54.94139990000258,54.94139990000258,54.94139990000258,0.0412200999999186,cus,[],[],[],[],[],[],[],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,c_rt__ns,,,,,0,2,2,13,,,,,64.9566405000005,64.9566405000005,64.9566405000005,0.04568449999715085,"cartoons
",[],[],[],[],[],[],[],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,p_st_y,,,,,0,3,3,10,,,,,74.93582370000149,74.93582370000149,74.93582370000149,0.03851769999891985,,[],[],[],[],[],[],[],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,n_n_,,,,,0,4,4,14,,,,,84.93246410000211,84.93246410000211,84.93246410000211,0.030279399998107692,nini,"[-0.08194444444444444, -0.025]","[-0.33055555555555555, -0.30416666666666664]","[1, 1]","[0, 0]","[0, 0]","[6.653402300002199, 7.919130900001619]",['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,t_g_r,,,,,0,5,5,1,,,,,92.86325720000241,92.86325720000241,92.86325720000241,0.009572099999786587,tiger,[-0.03333333333333333],[-0.3],[1],[0],[0],[3.888622499998746],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,_r__k,,,,,0,6,6,12,,,,,96.76190020000286,96.76190020000286,96.76190020000286,0.009960100000171224,break,[],[],[],[],[],[],[],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,q__en,,,,,0,7,7,8,,,,,106.77555159999974,106.77555159999974,106.77555159999974,0.018636199998582015,,[-0.04027777777777778],[-0.32083333333333336],[1],[0],[0],[0.04308630000014091],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,_ia__,,,,,0,8,8,4,,,,,106.82546610000281,106.82546610000281,106.82546610000281,0.010054599999421043,piano,[-0.016666666666666666],[-0.2902777777777778],[1],[0],[0],[4.817111099997419],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,t_t_,,,,,0,9,9,6,,,,,111.65728820000004,111.65728820000004,111.65728820000004,0.00990040000033332,tata,[0.008333333333333333],[-0.29583333333333334],[1],[0],[0],[3.6204443000024185],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,s__p,,,,,0,10,10,11,,,,,115.30616080000254,115.30616080000254,115.30616080000254,0.011932599998544902,soap,[-0.002777777777777778],[-0.3],[1],[0],[0],[2.9297708999984025],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,t_b_,,,,,0,11,11,5,,,,,118.23851940000168,118.23851940000168,118.23851940000168,0.010154100000363542,,[-0.002777777777777778],[-0.3],[1],[0],[0],[0.7327121999987867],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,_oo_,,,,,0,12,12,2,,,,,118.9882854000025,118.9882854000025,118.9882854000025,0.011392399999749614,book,[-0.002777777777777778],[-0.3],[1],[0],[0],[6.533433699998568],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,_a_e,,,,,0,13,13,0,,,,,125.53620150000279,125.53620150000279,125.53620150000279,0.009854299998551141,vase,[-0.016666666666666666],[-0.28055555555555556],[1],[0],[0],[5.26908579999872],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
,_o_s_,,,,,0,14,14,7,,,,,130.817949100001,130.817949100001,130.817949100001,0.01095530000020517,mouse,[-0.013888888888888888],[-0.2875],[1],[0],[0],[5.31767469999977],['text_3'],4,001,2023-09-29_16h17.18.807,wordpriming,2023.1.3,60.25559217094193,
